Nome,Marca,Potencia,Preco,Rendimento Maximo,Quantos Inversores,Preco Total,ID
INVERSOR SOLAR FOTOVOLTAICO ON GRID ECOSOLYS (56914-3),EcoSolys,1000,1806.38,0.950,0,0,0
INVERSOR SOLAR FOTOVOLTAICO ON GRID GROWATT (68207-0),Growatt,1500,1967.87,0.972,0,0,1
INVERSOR SOLAR FOTOVOLTAICO ON GRID GROWATT (68208-4),Growatt,2000,2167.81,0.972,0,0,2
INVERSOR SOLAR FOTOVOLTAICO ON GRID ECOSOLYS (40867-2),EcoSolys,2000,2267.78,0.966,0,0,3
INVERSOR SOLAR FOTOVOLTAICO ON GRID GROWATT (68210-5),Growatt,2500,2367.75,0.970,0,0,4
INVERSOR SOLAR FOTOVOLTAICO ON GRID GROWATT (68211-9),Growatt,3000,2567.69,0.970,0,0,5
INVERSOR SOLAR FOTOVOLTAICO ON GRID REFUSOL (57196-0),REFUsol,1600,2613.83,0.975,0,0,6
INVERSOR SOLAR FOTOVOLTAICO ON GRID GROWATT (68202-0),Growatt,3000,3067.54,0.982,0,0,7
INVERSOR SOLAR FOTOVOLTAICO ON GRID REFUSOL (57156-8),REFUsol,3300,3152.13,0.977,0,0,8
INVERSOR SOLAR FOTOVOLTAICO ON GRID GROWATT (57555-2),Growatt,5000,3683.51,0.984,0,0,9
INVERSOR SOLAR FOTOVOLTAICO ON GRID GROWATT (57561-9),Growatt,6000,4359.46,0.984,0,0,10
INVERSOR SOLAR FOTOVOLTAICO ON GRID GROWATT (57562-3),Growatt,8000,5189.98,0.984,0,0,11
INVERSOR SOLAR FOTOVOLTAICO ON GRID FIMER ABB (31472-8),ABB,3300,6151.23,0.970,0,0,12
INVERSOR SOLAR FOTOVOLTAICO ON GRID REFUSOL (45943-7),REFUsol,5000,5497.58,0.978,0,0,13
INVERSOR SOLAR FOTOVOLTAICO ON GRID FRONIUS (30579-7),Fronius,3000,6297.34,0.977,0,0,14
INVERSOR SOLAR FOTOVOLTAICO ON GRID FIMER ABB (31473-2),ABB,4000,6720.29,0.970,0,0,15
INVERSOR SOLAR FOTOVOLTAICO ON GRID FRONIUS (30582-2),Fronius,4000,6966.37,0.977,0,0,16
INVERSOR SOLAR FOTOVOLTAICO ON GRID FIMER ABB (31476-4),ABB,5000,7350.87,0.974,0,0,17
INVERSOR SOLAR FOTOVOLTAICO ON GRID FRONIUS (30437-5),Fronius,5000,7666.16,0.977,0,0,18
INVERSOR SOLAR FOTOVOLTAICO ON GRID FIMER ABB (45315-4),ABB,6000,8558.20,0.974,0,0,19
INVERSOR SOLAR FOTOVOLTAICO ON GRID FRONIUS (31282-7),Fronius,6000,9119.57,0.977,0,0,20
