STATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
AC,4521,4522,4247,4371,3960,4084,4284,4807,4915,5008,4885,4574
AC,4678,4661,4231,4532,3917,4026,4283,4947,5136,5092,5102,4771
AC,4655,4653,4268,4566,3945,4079,4285,4858,5102,5105,5157,4771
AC,4501,4621,4231,4401,4011,4111,4316,4885,5031,5131,4989,4580
AC,4486,4527,4264,4395,3957,3983,4228,4823,5070,5138,4952,4677
AC,4738,4902,4248,4455,4285,4164,4363,4996,5135,5024,4950,4701
AC,4655,4653,4268,4566,3945,4079,4285,4858,5102,5105,5157,4771
AC,4505,4806,4211,4384,3993,4088,4275,4951,5090,5090,4785,4503
AC,4685,4804,4118,4494,4132,4151,4367,5047,5174,5038,5006,4669
AC,4752,4903,4335,4496,4279,4173,4323,5095,5200,5115,5005,4759
AC,4458,4702,4220,4375,3967,4104,4381,5014,5120,5003,4802,4515
AC,4717,4931,4178,4514,4261,4149,4357,5063,5333,5149,5067,4741
AC,4476,4490,4266,4385,3968,4093,4300,4829,4853,5073,4917,4626
AC,4411,4549,4278,4376,3975,4122,4333,4946,5010,5064,4914,4589
AC,4779,4887,4257,4537,4301,4184,4419,5124,5306,5140,5056,4779
AC,4470,4608,4216,4414,3946,4088,4263,4866,5104,5105,5035,4606
AC,4755,4923,4243,4490,4278,4184,4339,5049,5208,5028,4957,4708
AC,4585,4698,4184,4434,4087,4106,4372,5028,5071,5006,4945,4580
AC,4479,4619,4286,4302,3959,4081,4303,4940,5035,5008,4882,4573
AC,4483,4594,4218,4417,3943,4088,4271,4874,5097,5137,4967,4611
AC,4555,4804,4236,4397,4088,4115,4341,5005,5193,5118,4843,4533
AC,4629,4586,4281,4578,3962,4125,4332,4894,5068,5071,5077,4686
AL,6272,6053,5996,5295,4453,3982,4090,4805,5716,6028,6576,6388
AL,5928,5819,5794,5058,4200,3903,3962,4551,5381,5702,6236,6275
AL,6047,5817,5833,5096,4246,3958,4072,4644,5404,5764,6285,6289
AL,5873,5794,5793,5099,4245,3920,4003,4579,5379,5612,6115,6132
AL,6085,6032,6105,5180,4414,4082,4194,4858,5555,5923,6381,6403
AL,6125,6105,6021,5137,4364,3993,4159,4768,5496,5906,6322,6382
AL,6067,5785,5811,5152,4279,3975,4097,4724,5504,5731,6323,6261
AL,5989,5835,5777,5115,4198,3834,3925,4551,5377,5718,6331,6314
AL,6106,5948,5903,5211,4360,4066,4154,4787,5560,5804,6341,6250
AL,5840,5697,5751,4981,4144,3773,3881,4431,5303,5606,6198,6154
AL,5781,5755,5725,5079,4217,3814,3893,4505,5392,5643,6139,6108
AL,6101,5881,5913,5183,4355,3949,4113,4707,5570,5929,6472,6399
AL,5758,5670,5681,5067,4194,3786,3878,4414,5237,5498,6085,6034
AL,5686,5648,5735,5008,4232,3930,3961,4608,5397,5633,6058,5967
AL,5960,5832,5843,5054,4239,3893,4029,4570,5312,5689,6179,6261
AL,5911,5811,5773,5030,4228,4001,4072,4628,5412,5747,6210,6195
AL,6317,6077,6087,5391,4470,3965,4148,4781,5758,6185,6703,6492
AL,5778,5673,5736,5048,4201,3836,3923,4497,5334,5583,6137,6091
AL,6139,5962,5987,5303,4384,4013,4138,4781,5630,5980,6547,6339
AL,5876,5766,5746,5087,4197,3735,3828,4469,5300,5631,6254,6203
AL,6100,5907,5877,5129,4257,3910,4025,4649,5513,5861,6422,6425
AL,5574,5600,5598,4919,4144,3749,3820,4413,5170,5411,5854,5839
AL,6047,6015,5950,5087,4306,4008,4137,4761,5515,5875,6307,6310
AL,6126,6183,5996,5152,4440,4127,4222,4905,5577,6021,6344,6454
AL,6118,5849,5973,5235,4316,3982,4140,4728,5589,5913,6423,6396
AL,6317,6064,5961,5278,4437,4022,4161,4780,5686,5993,6511,6389
AL,6185,5924,5955,5239,4381,3964,4119,4744,5595,5979,6487,6412
AL,6122,5947,5972,5259,4355,3971,4116,4807,5721,6041,6588,6468
AL,5966,5788,5762,5062,4264,3959,4025,4600,5402,5696,6217,6209
AL,6257,6212,6051,5040,4364,4031,4142,4785,5523,6027,6346,6488
AL,5716,5707,5729,4997,4138,3830,3929,4473,5263,5504,6062,6008
AL,6010,5815,5843,5091,4266,3992,4098,4682,5461,5774,6247,6205
AL,5854,5809,5758,5048,4127,3683,3795,4451,5355,5651,6187,6121
AL,6078,5861,5919,5194,4310,3950,4073,4703,5539,5883,6470,6386
AL,5979,5848,5791,5008,4252,4037,4085,4635,5388,5749,6213,6189
AL,6360,6124,6057,5343,4446,3947,4116,4842,5757,6175,6670,6470
AL,6104,5882,5920,5223,4355,3979,4124,4680,5469,5850,6462,6268
AL,5706,5691,5754,5012,4236,3971,3996,4640,5436,5663,6113,5998
AL,6124,6043,6202,5228,4469,4201,4277,5043,5720,6130,6378,6406
AL,6029,5731,5783,5080,4237,3972,4050,4646,5427,5711,6356,6206
